[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,15:41.108,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,15:41.131,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,15:41.155,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,15:41.180,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,15:41.203,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,15:41.227,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,15:41.252,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,15:41.275,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,15:41.301,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,15:41.325,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,15:41.350,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,15:41.374,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,15:41.399,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,15:41.422,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,15:41.446,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,15:41.470,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,15:41.493,0,Bad
