[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,00:57.256,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,00:57.279,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,00:57.300,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,00:57.329,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,00:57.349,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,00:57.374,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,00:57.399,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,00:57.427,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,00:57.450,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,00:57.474,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,00:57.508,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,00:57.530,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,00:57.557,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,00:57.579,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,00:57.615,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,00:57.636,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,00:57.660,0,Bad
