[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,59:57.198,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,59:58.016,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,59:58.840,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,59:59.666,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,00:00.503,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,00:01.324,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,00:02.159,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,00:02.983,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,00:03.810,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,00:04.650,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,00:05.497,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,00:06.324,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,00:07.144,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,00:07.975,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,00:08.804,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,00:09.619,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,00:10.458,0,Bad
