[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,02:35.376,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,02:36.208,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,02:37.033,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,02:37.866,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,02:38.696,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,02:39.513,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,02:40.349,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,02:41.167,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,02:41.993,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,02:42.809,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,02:43.627,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,02:44.442,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,02:45.276,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,02:46.088,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,02:46.921,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,02:47.743,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,02:48.571,0,Bad
