[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,18:51.868,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,18:52.051,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,18:52.256,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,18:52.577,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,18:52.790,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,18:53.033,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,18:53.266,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,18:53.450,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,18:53.783,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,18:54.250,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,18:54.494,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,18:54.866,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,18:55.206,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,18:55.395,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,18:55.734,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,18:55.911,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,18:56.237,0,Bad
