[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,04:02.682,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,04:02.723,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,04:02.771,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,04:02.818,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,04:02.862,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,04:02.905,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,04:02.948,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,04:02.995,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,04:03.043,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,04:03.078,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,04:03.111,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,04:03.143,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,04:03.177,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,04:03.212,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,04:03.246,257.76,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,04:03.279,0.72,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,04:03.313,2545.6,Bad
