[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,57:01.190,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,57:02.029,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,57:02.866,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,57:03.676,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,57:04.509,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,57:05.331,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,57:06.162,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,57:06.996,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,57:07.832,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,57:08.671,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,57:09.493,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,57:10.304,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,57:11.142,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,57:11.981,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,57:12.807,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,57:13.646,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,57:14.467,0,Bad
