[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,55:41.834,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,55:42.654,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,55:43.472,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,55:44.299,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,55:45.127,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,55:45.975,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,55:46.803,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,55:47.647,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,55:48.477,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,55:49.314,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,55:50.132,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,55:50.946,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,55:51.776,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,55:52.593,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,55:53.409,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,55:54.239,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,55:55.070,0,Bad
