[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,00:00.000,0,
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,00:00.000,0,
