[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,05:03.822,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,05:03.860,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,05:03.904,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,04:18.480,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,04:18.512,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,04:18.546,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,04:18.580,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,04:18.615,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,04:18.647,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,04:18.676,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,04:18.700,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,04:18.724,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,04:18.751,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,04:18.775,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,04:18.801,257.76,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,04:18.826,0.72,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,04:18.853,2545.6,Bad
