[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,30:48.842,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,30:48.964,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,30:49.067,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,30:49.160,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,30:49.255,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,30:49.349,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,30:49.451,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,30:49.554,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,30:49.649,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,30:49.752,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,30:49.846,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,30:49.960,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,30:50.081,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,30:50.175,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,30:50.270,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,30:50.364,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,30:50.459,0,Good
