[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,56:56.427,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,56:56.449,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,56:56.471,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,56:56.492,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,56:56.514,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,56:56.535,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,56:56.557,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,56:56.580,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,56:56.602,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,56:56.624,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,56:56.646,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,56:56.670,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,56:56.693,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,56:56.716,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,56:56.738,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,56:56.760,0.35,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,56:56.782,0,Good
