[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,14:41.178,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,14:41.208,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,14:41.238,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,14:41.264,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,14:41.286,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,14:41.309,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,14:41.332,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,14:41.355,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,14:41.379,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,14:41.403,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,14:41.425,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,14:41.448,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,14:41.472,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,14:41.495,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,14:41.518,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,14:41.542,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,14:41.566,0,Bad
