[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,35:44.015,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,35:44.861,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,35:45.706,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,35:46.547,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,35:47.389,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,35:48.211,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,35:49.029,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,35:49.860,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,35:50.697,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,35:51.511,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,35:52.330,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,35:53.145,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,35:53.963,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,35:54.789,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,35:55.645,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,35:56.476,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,35:57.291,0,Bad
