[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,34:39.066,12.2,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,34:39.136,327.67,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,34:39.201,273066.67,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,34:39.268,101207.21,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,34:39.332,604370000,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,34:39.398,6.04,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,34:39.462,48349.6,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,34:39.526,22.72,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,34:39.590,604.37,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,34:39.654,101025,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,34:39.717,567.57,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,34:39.781,604370000,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,34:39.847,6.04,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,34:39.911,169.6,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,34:39.975,4835.04,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,34:40.041,2.3,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,34:40.105,48350.4,Good
