[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,55:56.334,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,55:56.357,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,55:56.379,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,55:56.402,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,55:56.424,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,55:56.446,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,55:56.468,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,55:56.490,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,55:56.512,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,55:56.534,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,55:56.556,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,55:56.578,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,55:56.600,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,55:56.622,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,55:56.644,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,55:56.666,0.34,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,55:56.688,0,Good
