[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,54:42.032,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,54:42.862,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,54:43.711,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,54:44.531,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,54:45.369,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,54:46.181,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,54:47.003,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,54:47.817,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,54:48.635,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,54:49.457,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,54:50.275,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,54:51.092,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,54:51.909,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,54:52.727,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,54:53.545,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,54:54.362,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,54:55.180,0,Bad
