[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,36:43.985,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,36:44.804,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,36:45.634,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,36:46.451,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,36:47.265,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,36:48.103,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,36:48.921,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,36:49.745,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,36:50.582,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,36:51.409,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,36:52.221,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,36:53.035,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,36:53.862,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,36:54.696,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,36:55.529,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,36:56.369,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,36:57.223,0,Bad
