[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO23,11:27.708,12.2,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.TEMP3,11:27.772,327.67,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.NOX3,11:27.842,273066.67,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.DUST3,11:27.902,101207.21,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.O23,11:27.969,576890000,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW3,11:28.035,5.77,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO3,11:28.101,46151.2,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO24,11:28.167,22.72,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW4,11:28.232,576.9,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO45,11:28.297,101025,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO66,11:28.361,567.57,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW5,11:28.427,576900000,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO87,11:28.496,5.77,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO108,11:28.560,169.6,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.FLOW6,11:28.626,4615.2,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO129,11:28.689,2.02,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO3.SO150,11:28.755,46152.8,Good
