Thoi_gian,Thiet_bi,Ten_du_lieu,Don_vi_do,Dia_chi,Trang_thai,Gia_tri
7/2/2020 1:54:58 PM,a,co2,ml,40001,1,8101
7/2/2020 1:54:58 PM,c,Co2,ml,00001,1,True
7/2/2020 1:54:58 PM,d,Co2,ml,1,1,True
