[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,56:01.094,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,56:01.935,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,56:02.773,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,56:03.607,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,56:04.445,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,56:05.278,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,56:06.096,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,56:06.922,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,56:07.753,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,56:08.588,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,56:09.426,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,56:10.263,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,56:11.103,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,56:11.943,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,56:12.780,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,56:13.619,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,56:14.457,0,Bad
