[Data]
Tagname,TimeStamp,Value,DataQuality
Diem_Do_1.SO2,17:58.167,386.82,Good
Diem_Do_1.TEMP,17:58.199,387.2,Good
Diem_Do_1.NOX,17:58.231,387.07,Good
Diem_Do_1.DUST,17:58.264,386.56,Good
Diem_Do_1.O2,17:58.297,3865600,Good
