[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,55:01.169,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,55:02.007,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,55:02.845,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,55:03.660,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,55:04.482,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,55:05.316,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,55:06.153,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,55:06.992,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,55:07.805,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,55:08.642,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,55:09.480,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO99,55:10.321,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,55:11.142,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,55:11.968,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,55:12.806,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,55:13.643,0,Bad
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,55:14.482,0,Bad
